--- GC Starters ---
                Player  Points
0      Patrick Mahomes    27.6
1         Brian Thomas     8.8
2        Xavier Worthy     9.3
3       Terry McLaurin     9.4
4         Alvin Kamara     8.7
5         Kimani Vidal     7.6
6          Sam LaPorta     9.7
7  Rhamondre Stevenson     9.9


--- GC Score ---
   Jerks Score
0         91.0


--- GC Bench ---
               Player  Points
0      Dalton Schultz     9.5
1          A.J. Brown     0.0
2        Bucky Irving     0.0
3  Brian Robinson Jr.     3.1
4       Elic Ayomanor    10.8
5         Trey Benson     0.0


--- Noche Starters ---
             Player  Points
0            Bo Nix    19.0
1     Ja'Marr Chase    19.7
2      Stefon Diggs    11.1
3  Justin Jefferson    15.4
4    Kyren Williams    13.6
5      Alvin Kamara     8.7
6      Hunter Henry     8.5
7    Zonovan Knight     7.9
8        Jared Goff    16.1


--- Noche Score ---
   Jerks Score
0        120.0


--- Noche Bench ---
           Player  Points
0  Dallas Goedert     0.0
1     Kareem Hunt    11.6
2    Jordan Mason    12.9
3     Cooper Kupp     7.7
4                     0.0


--- Paint Starters ---
               Player  Points
0          Jared Goff    16.1
1        Nico Collins    14.6
2  Jaxon Smith-Njigba    21.1
3          Puka Nacua    22.1
4     Jonathan Taylor    22.9
5        Kimani Vidal     7.6
6   Oronde Gadsden II    11.2
7      Zonovan Knight     7.9


--- Paint Score ---
   Jerks Score
0         92.5


--- Paint Bench ---
           Player  Points
0  Rashid Shaheed    13.3
1     Breece Hall     0.0
2  Dallas Goedert     0.0
3     Rico Dowdle    13.8
4   Rachaad White     0.0
5     Trey Benson     0.0


--- Jerks Starters ---
                 Player  Points
0           Jaxson Dart    16.0
1        Jayden Daniels    19.8
2          Stefon Diggs    11.1
3      Quentin Johnston    11.9
4   Marvin Harrison Jr.    13.4
5          Jahmyr Gibbs    16.5
6            James Cook    22.7
7          Brock Bowers     9.3
8          J.K. Dobbins    10.6
9         Xavier Worthy     9.3
10        D'Andre Swift    14.6
11          Alec Pierce     8.7
12     Tyrone Tracy Jr.     6.2


--- Jerks Score ---
   Jerks Score
0        170.1


--- Jerks Bench ---
           Player  Points
0  Zonovan Knight     7.9
1      Cade Otton     0.0
2   Rachaad White     0.0
3                     0.0


