Pick,Player,Team,Pos.,Salary,Team
1,Ashton Jeanty ,LV , RB,$48 ,Green Rahe Packers
2,Bijan Robinson ,Atl , RB,$82 ,The Randy Savages
3,Rashee Rice ,KC , WR,$7 ,Godwin's Plan
4,Christian McCaffrey ,SF , RB,$56 ,San gronkowski 69ers
5,Jahmyr Gibbs ,Det , RB,$75 ,Bill Cosby Sleepers
6,CeeDee Lamb ,Dal , WR,$65 ,Password is Taco
7,Derrick Henry ,Bal , RB,$61 ,The White Walkers
8,Travis Kelce ,KC , TE,$6 ,Bobby Bad Beats
9,George Kittle ,SF , TE,$32 ,Bill Cosby Sleepers
10,Josh Allen ,Buf , QB,$33 ,San gronkowski 69ers
11,Lamar Jackson ,Bal , QB,$36 ,Garbage Time All-...
12,Nico Collins ,Hou , WR,$52 ,Phillip OchoOcho
13,Amon-Ra St. Brown ,Det , WR,$67 ,The Randy Savages
14,Jalen Hurts ,Phi , QB,$34 ,Bill Cosby Sleepers
15,Joe Mixon ,Hou , RB,$6 ,Bill Cosby Sleepers
16,Mike Evans ,SF , WR,$24 ,Bill Cosby Sleepers
17,Josh Jacobs ,GB , RB,$60 ,Phillip OchoOcho
18,Kyren Williams ,LAR , RB,$51 ,Trundle The Great
19,Tee Higgins ,Cin , WR,$31 ,Green Rahe Packers
20,A.J. Brown ,NE , WR,$62 ,Password is Taco
21,Omarion Hampton ,LAC , RB,$39 ,The White Walkers
22,Marvin Harrison Jr. ,Ari , WR,$25 ,Trundle The Great
23,Alvin Kamara ,NO , RB,$35 ,Phillip OchoOcho
24,Davante Adams ,LAR , WR,$36 ,Bobby Bad Beats
25,Tyreek Hill ,Mia , WR,$35 ,Godwin's Plan
26,Sam LaPorta ,Det , TE,$10 ,Password is Taco
27,Xavier Worthy ,KC , WR,$18 ,Trundle The Great
28,TreVeyon Henderson ,NE , RB,$17 ,Godwin's Plan
29,Kenneth Walker III ,KC , RB,$30 ,Godwin's Plan
30,Terry McLaurin ,Was , WR,$42 ,Password is Taco
31,George Pickens ,Dal , WR,$22 ,Phillip OchoOcho
32,Zay Flowers ,Bal , WR,$39 ,Garbage Time All-...
33,Chuba Hubbard ,Car , RB,$27 ,Garbage Time All-...
34,James Conner ,Ari , RB,$29 ,The Randy Savages
35,Justin Fields ,KC , QB,$2 ,Ridley Me This
36,DeVonta Smith ,Phi , WR,$19 ,Bobby Bad Beats
37,DK Metcalf ,Pit , WR,$22 ,Bill Cosby Sleepers
38,Joe Burrow ,Cin , QB,$23 ,Bobby Bad Beats
