Rk,Name,Age,Tm,OppQual,GS,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,Andrew Abbott*,27,CIN,7.6,6,1,3,0.25,11.72,6,6,0,0,0,0,17.2,28,25,23,6,8,0,22,1,0,0,89,2.038,14.3,3.1,4.1,11.2,2.75,redirect.fcgi?player=1&mlb_ID=671096
2,Mick Abel,24,MIN,7.6,5,0,2,0,2,5,5,0,0,0,0,18,12,4,4,1,3,0,23,0,0,0,66,0.833,6,0.5,1.5,11.5,7.67,redirect.fcgi?player=1&mlb_ID=690953
3,Kevin Abel,27,CIN,4.6,0,0,0,,108,1,0,0,0,0,0,0.1,0,4,4,0,4,0,0,0,0,1,5,12,0,0,108,0,0,redirect.fcgi?player=1&mlb_ID=674265
4,Blane Abeyta,27,ATL,6.6,0,0,0,,2.7,4,0,3,0,0,2,3.1,3,1,1,1,2,0,4,0,0,0,15,1.5,8.1,2.7,5.4,10.8,2,redirect.fcgi?player=1&mlb_ID=686588
5,Philip Abner*,24,AZ,7.7,0,1,0,1,4.66,9,0,1,0,0,0,9.2,8,5,5,2,4,0,12,1,0,0,41,1.241,7.4,1.9,3.7,11.2,3,redirect.fcgi?player=1&mlb_ID=691769
6,Alaska Abney,26,CLE,5.9,0,0,0,,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,5,2,9,0,9,0,0,redirect.fcgi?player=1&mlb_ID=685095
7,Bryan Abreu,29,HOU,6.7,0,0,0,,3.86,7,0,0,0,0,0,7,5,3,3,3,7,0,5,0,0,1,32,1.714,6.4,3.9,9,6.4,0.71,redirect.fcgi?player=1&mlb_ID=650556
8,Cohen Achen,24,BAL,6.8,0,0,1,0,63,2,0,1,0,0,0,1,9,8,7,1,0,0,1,1,0,0,13,9,81,9,0,9,,redirect.fcgi?player=1&mlb_ID=828494
9,Dane Acker,27,TEX,5.4,0,0,0,,10.8,4,0,3,0,0,1,3.1,3,4,4,2,1,0,3,0,0,0,14,1.2,8.1,5.4,2.7,8.1,3,redirect.fcgi?player=1&mlb_ID=686769
10,Garrett Acton,28,MIA,6.9,0,0,0,,0,6,0,1,0,0,0,5.1,0,1,0,0,4,0,6,0,0,1,20,0.75,0,0,6.8,10.1,1.5,redirect.fcgi?player=1&mlb_ID=670183
11,Jason Adam,34,SD,6.9,0,0,0,,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,9,,redirect.fcgi?player=1&mlb_ID=592094
12,Travis Adams,26,MIN,6.1,0,0,1,0,6.75,3,0,1,0,0,0,2.2,2,2,2,1,2,0,3,1,0,0,13,1.5,6.8,3.4,6.8,10.1,1.5,redirect.fcgi?player=1&mlb_ID=701519
13,Cooper Adams,26,BOS,6.5,0,0,0,,6.75,3,0,2,0,0,0,2.2,1,2,2,1,1,0,5,1,0,0,10,0.75,3.4,3.4,3.4,16.9,5,redirect.fcgi?player=1&mlb_ID=822416
14,Ty Adcock,29,SD,6.9,0,0,0,,2.25,4,0,2,0,0,1,4,4,1,1,0,0,0,4,0,0,0,16,1,9,0,0,9,,redirect.fcgi?player=1&mlb_ID=686654
15,Eric Adler,25,CWS,8.2,0,0,1,0,135,2,0,0,0,0,0,0.1,1,5,5,0,4,0,0,0,0,0,5,15,27,0,108,0,0,redirect.fcgi?player=1&mlb_ID=688328
16,Brady Afthim,23,CIN,7.8,0,0,0,,9,1,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,5,2,18,9,0,0,,redirect.fcgi?player=1&mlb_ID=808833
17,Matt Ager,23,PIT,,0,0,0,,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,9,,redirect.fcgi?player=1&mlb_ID=700400
18,Zach Agnos,25,COL,7.9,2,0,0,,3.86,9,2,3,0,0,0,9.1,8,4,4,1,1,0,9,0,0,0,36,0.964,7.7,1,1,8.7,9,redirect.fcgi?player=1&mlb_ID=688642
19,Julian Aguiar,25,CIN,6.8,0,1,1,0.5,7.5,3,0,1,0,0,0,6,8,5,5,2,1,0,8,0,1,0,26,1.5,12,3,1.5,12,8,redirect.fcgi?player=1&mlb_ID=687924
20,Robby Ahlstrom*,27,TEX,5.7,0,0,0,,7.71,3,0,0,0,0,0,2.1,2,2,2,0,5,0,3,0,0,1,13,3,7.7,0,19.3,11.6,0.6,redirect.fcgi?player=1&mlb_ID=695239
