Rank,Player,Team,Pos.,PPR,Std,Age,PassAtt,PassYds,PassTD,Int,Rec,RecYds,RecTD,RushAtt,RushYds,RushTD
1,Jacoby Brissett,ARI,QB,268.48,268.48,33.0,518.0,3962.0,26.0,8.0,0.0,0.0,0.0,40.0,160.0,1.0
2,Carson Beck,ARI,QB,18.34,18.34,23.0,22.0,166.0,1.0,1.0,0.0,0.0,0.0,8.0,37.0,1.0
3,Jeremiyah Love,ARI,RB,162.9,135.9,21.0,0.0,0.0,0.0,0.0,27.0,174.0,2.0,144.0,645.0,7.0
4,Tyler Allgeier,ARI,RB,132.0,119.0,26.0,0.0,0.0,0.0,0.0,13.0,94.0,0.0,135.0,496.0,10.0
5,Zonovan Knight,ARI,RB,139.6,112.6,25.0,0.0,0.0,0.0,0.0,27.0,203.0,2.0,112.0,383.0,7.0
6,Trey McBride,ARI,TE,243.7,150.7,26.0,0.0,0.0,0.0,0.0,93.0,967.0,9.0,0.0,0.0,0.0
7,Elijah Higgins,ARI,TE,53.3,26.3,25.0,0.0,0.0,0.0,0.0,27.0,263.0,0.0,0.0,0.0,0.0
8,Tip Reiman,ARI,TE,20.9,7.9,24.0,0.0,0.0,0.0,0.0,13.0,79.0,0.0,0.0,0.0,0.0
9,Marvin Harrison Jr.,ARI,WR,139.5,98.5,24.0,0.0,0.0,0.0,0.0,41.0,685.0,5.0,0.0,0.0,0.0
10,Michael Wilson,ARI,WR,217.6,150.6,26.0,0.0,0.0,0.0,0.0,67.0,846.0,11.0,0.0,0.0,0.0
11,Kendrick Bourne,ARI,WR,93.3,53.3,31.0,0.0,0.0,0.0,0.0,40.0,533.0,0.0,0.0,0.0,0.0
12,Jalen Brooks,ARI,WR,28.9,15.9,26.0,0.0,0.0,0.0,0.0,13.0,159.0,0.0,0.0,0.0,0.0
13,Xavier Weaver,ARI,WR,24.5,11.5,25.0,0.0,0.0,0.0,0.0,13.0,115.0,0.0,0.0,0.0,0.0
14,Michael Penix,ATL,QB,242.66,242.66,26.0,460.0,3654.0,23.0,7.0,0.0,0.0,0.0,26.0,125.0,1.0
15,Tua Tagovailoa,ATL,QB,13.02,13.02,28.0,19.0,148.0,2.0,1.0,0.0,0.0,0.0,6.0,11.0,0.0
16,Bijan Robinson,ATL,RB,350.0,284.0,24.0,0.0,0.0,0.0,0.0,66.0,649.0,4.0,272.0,1411.0,9.0
17,Brian Robinson Jr.,ATL,RB,72.5,59.5,27.0,0.0,0.0,0.0,0.0,13.0,27.0,0.0,80.0,388.0,3.0
18,Nathan Carter,ATL,RB,22.0,22.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,220.0,0.0
19,Kyle Pitts,ATL,TE,161.8,95.8,25.0,0.0,0.0,0.0,0.0,66.0,718.0,4.0,0.0,0.0,0.0
20,Austin Hooper,ATL,TE,47.9,34.9,31.0,0.0,0.0,0.0,0.0,13.0,229.0,2.0,0.0,0.0,0.0
21,Charlie Woerner,ATL,TE,18.3,5.3,28.0,0.0,0.0,0.0,0.0,13.0,53.0,0.0,0.0,0.0,0.0
22,Drake London,ATL,WR,223.7,143.7,25.0,0.0,0.0,0.0,0.0,80.0,1017.0,7.0,0.0,0.0,0.0
23,Zachariah Branch,ATL,WR,112.4,72.4,22.0,0.0,0.0,0.0,0.0,40.0,469.0,4.0,0.0,15.0,0.0
24,Olamide Zaccheaus,ATL,WR,83.1,43.099999999999994,29.0,0.0,0.0,0.0,0.0,40.0,279.0,2.0,0.0,32.0,0.0
25,Jahan Dotson,ATL,WR,49.6,36.6,26.0,0.0,0.0,0.0,0.0,13.0,246.0,2.0,0.0,0.0,0.0
26,Dylan Drummond,ATL,WR,22.3,9.3,26.0,0.0,0.0,0.0,0.0,13.0,93.0,0.0,0.0,0.0,0.0
27,Lamar Jackson,BAL,QB,291.58,291.58,29.0,350.0,3397.0,30.0,9.0,0.0,0.0,0.0,66.0,357.0,3.0
28,Tyler Huntley,BAL,QB,18.56,18.56,28.0,20.0,134.0,1.0,0.0,0.0,0.0,0.0,14.0,92.0,0.0
29,Derrick Henry,BAL,RB,274.2,261.2,32.0,0.0,0.0,0.0,0.0,13.0,150.0,0.0,288.0,1502.0,16.0
30,Adam Randall,BAL,RB,161.0,135.0,22.0,0.0,0.0,0.0,0.0,26.0,170.0,2.0,144.0,640.0,7.0
31,Justice Hill,BAL,RB,121.2,95.2,28.0,0.0,0.0,0.0,0.0,26.0,237.0,2.0,32.0,235.0,6.0
32,Mark Andrews,BAL,TE,128.8,89.8,30.0,0.0,0.0,0.0,0.0,39.0,323.0,6.0,16.0,95.0,2.0
33,Matthew Hibner,BAL,TE,72.0,46.0,24.0,0.0,0.0,0.0,0.0,26.0,280.0,3.0,0.0,0.0,0.0
34,Josh Cuevas,BAL,TE,66.0,40.0,23.0,0.0,0.0,0.0,0.0,26.0,280.0,2.0,0.0,0.0,0.0
35,Zay Flowers,BAL,WR,213.0,148.0,25.0,0.0,0.0,0.0,0.0,65.0,921.0,6.0,16.0,79.0,2.0
36,Ja'Kobi Lane,BAL,WR,110.6,71.6,22.0,0.0,0.0,0.0,0.0,39.0,460.0,4.0,0.0,16.0,0.0
37,Rashod Bateman,BAL,WR,62.8,36.8,26.0,0.0,0.0,0.0,0.0,26.0,248.0,2.0,0.0,0.0,0.0
38,Devontez Walker,BAL,WR,45.3,32.3,25.0,0.0,0.0,0.0,0.0,13.0,203.0,2.0,0.0,0.0,0.0
39,Chris Moore,BAL,WR,46.3,33.3,33.0,0.0,0.0,0.0,0.0,13.0,241.0,1.0,0.0,32.0,0.0
40,Josh Allen,BUF,QB,427.54,427.54,30.0,469.0,4046.0,33.0,11.0,0.0,0.0,0.0,112.0,537.0,17.0
41,Kyle Allen,BUF,QB,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,James Cook,BUF,RB,304.2,276.2,26.0,0.0,0.0,0.0,0.0,28.0,266.0,2.0,288.0,1536.0,14.0
43,Ty Johnson,BUF,RB,115.3,88.3,28.0,0.0,0.0,0.0,0.0,27.0,238.0,2.0,48.0,225.0,5.0
44,Ray Davis,BUF,RB,66.2,52.2,26.0,0.0,0.0,0.0,0.0,14.0,92.0,1.0,80.0,370.0,0.0
45,Dalton Kincaid,BUF,TE,156.2,114.2,26.0,0.0,0.0,0.0,0.0,42.0,662.0,8.0,0.0,0.0,0.0
46,Dawson Knox,BUF,TE,94.3,66.3,29.0,0.0,0.0,0.0,0.0,28.0,363.0,5.0,0.0,0.0,0.0
47,Jackson Hawes,BUF,TE,54.5,40.5,25.0,0.0,0.0,0.0,0.0,14.0,165.0,4.0,0.0,0.0,0.0
48,D.J. Moore,BUF,WR,161.4,119.4,29.0,0.0,0.0,3.0,0.0,42.0,558.0,4.0,16.0,96.0,3.0
49,Khalil Shakir,BUF,WR,153.8,93.80000000000001,26.0,0.0,0.0,0.0,0.0,60.0,622.0,5.0,0.0,16.0,0.0
50,Keon Coleman,BUF,WR,116.2,74.2,23.0,0.0,0.0,0.0,0.0,42.0,442.0,5.0,0.0,0.0,0.0
51,Josh Palmer,BUF,WR,63.8,35.8,26.0,0.0,0.0,0.0,0.0,28.0,358.0,0.0,0.0,0.0,0.0
52,Tyrell Shavers,BUF,WR,39.8,25.8,27.0,0.0,0.0,0.0,0.0,14.0,258.0,0.0,0.0,0.0,0.0
53,Bryce Young,CAR,QB,315.06000000000006,315.06000000000006,25.0,516.0,3649.0,37.0,12.0,0.0,0.0,0.0,45.0,211.0,4.0
54,Kenny Pickett,CAR,QB,1.48,1.48,28.0,6.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0
55,Chuba Hubbard,CAR,RB,132.1,106.1,27.0,0.0,0.0,0.0,0.0,26.0,209.0,3.0,144.0,552.0,2.0
56,Jonathon Brooks,CAR,RB,155.4,129.4,23.0,0.0,0.0,0.0,0.0,26.0,171.0,1.0,144.0,643.0,7.0
57,AJ Dillon,CAR,RB,32.9,19.9,28.0,0.0,0.0,0.0,0.0,13.0,54.0,0.0,32.0,145.0,0.0
58,Darren Waller,CAR,TE,133.2,94.2,33.0,0.0,0.0,0.0,0.0,39.0,447.0,8.0,0.0,15.0,0.0
59,Tommy Tremble,CAR,TE,58.5,32.5,26.0,0.0,0.0,0.0,0.0,26.0,265.0,1.0,0.0,0.0,0.0
60,Ja'Tavion Sanders,CAR,TE,58.8,32.8,23.0,0.0,0.0,0.0,0.0,26.0,208.0,2.0,0.0,0.0,0.0
61,Tetairoa McMillan,CAR,WR,190.4,138.4,23.0,0.0,0.0,0.0,0.0,52.0,784.0,10.0,0.0,0.0,0.0
62,Jalen Coker,CAR,WR,109.9,70.9,24.0,0.0,0.0,0.0,0.0,39.0,469.0,4.0,0.0,0.0,0.0
63,Xavier Legette,CAR,WR,98.9,59.9,25.0,0.0,0.0,0.0,0.0,39.0,359.0,4.0,0.0,0.0,0.0
64,Chris Brazzell II,CAR,WR,104.9,65.9,22.0,0.0,0.0,0.0,0.0,39.0,466.0,3.0,0.0,13.0,0.0
65,Casey Washington,CAR,WR,35.2,22.2,25.0,0.0,0.0,0.0,0.0,13.0,222.0,0.0,0.0,0.0,0.0
66,Caleb Williams,CHI,QB,370.06,370.06,24.0,564.0,4249.0,33.0,8.0,0.0,49.0,2.0,79.0,372.0,5.0
67,Tyson Bagent,CHI,QB,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,D'Andre Swift,CHI,RB,246.7,217.7,27.0,0.0,0.0,0.0,0.0,29.0,300.0,2.0,224.0,1097.0,11.0
69,Kyle Monangai,CHI,RB,148.6,134.6,24.0,0.0,0.0,0.0,0.0,14.0,166.0,0.0,160.0,760.0,7.0
70,Brittain Brown,CHI,RB,64.9,64.9,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,289.0,6.0
71,Colston Loveland,CHI,TE,150.8,93.8,22.0,0.0,0.0,0.0,0.0,57.0,638.0,5.0,0.0,0.0,0.0
72,Sam Roush,CHI,TE,77.7,48.7,22.0,0.0,0.0,0.0,0.0,29.0,307.0,3.0,0.0,0.0,0.0
73,Cole Kmet,CHI,TE,84.5,55.5,27.0,0.0,0.0,0.0,0.0,29.0,315.0,4.0,0.0,0.0,0.0
74,Rome Odunze,CHI,WR,178.8,121.8,24.0,0.0,0.0,0.0,0.0,57.0,798.0,7.0,0.0,0.0,0.0
75,Luther Burden,CHI,WR,131.1,88.1,22.0,0.0,0.0,0.0,0.0,43.0,653.0,3.0,2.0,48.0,0.0
76,Zavion Thomas,CHI,WR,119.0,76.0,22.0,0.0,0.0,0.0,0.0,43.0,505.0,4.0,0.0,15.0,0.0
77,Jahdae Walker,CHI,WR,44.5,30.5,24.0,0.0,0.0,0.0,0.0,14.0,185.0,2.0,0.0,0.0,0.0
78,Kalif Raymond,CHI,WR,73.9,44.9,32.0,0.0,0.0,0.0,0.0,29.0,297.0,2.0,0.0,32.0,0.0
79,Joe Burrow,CIN,QB,288.76000000000005,288.76000000000005,29.0,474.0,3724.0,38.0,10.0,0.0,0.0,0.0,26.0,78.0,0.0
80,Joe Flacco,CIN,QB,12.459999999999999,12.459999999999999,41.0,35.0,244.0,1.0,1.0,0.0,0.0,0.0,3.0,7.0,0.0
81,Chase Brown,CIN,RB,257.2,204.2,26.0,0.0,0.0,0.0,0.0,53.0,355.0,6.0,224.0,967.0,6.0
82,Samaje Perine,CIN,RB,100.7,87.7,30.0,0.0,0.0,0.0,0.0,13.0,82.0,0.0,96.0,435.0,6.0
83,Tahj Brooks,CIN,RB,7.9,7.9,24.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,16.0,65.0,0.0
84,Mike Gesicki,CIN,TE,71.6,44.6,30.0,0.0,0.0,0.0,0.0,27.0,326.0,2.0,0.0,0.0,0.0
85,Tanner Hudson,CIN,TE,48.4,35.4,31.0,0.0,0.0,0.0,0.0,13.0,174.0,3.0,0.0,0.0,0.0
86,Drew Sample,CIN,TE,29.0,16.0,30.0,0.0,0.0,0.0,0.0,13.0,100.0,1.0,0.0,0.0,0.0
87,Ja'Marr Chase,CIN,WR,279.9,172.89999999999998,26.0,0.0,0.0,0.0,0.0,107.0,1173.0,9.0,0.0,16.0,0.0
88,Tee Higgins,CIN,WR,195.1,142.1,27.0,0.0,0.0,0.0,0.0,53.0,761.0,11.0,0.0,0.0,0.0
89,Andrei Iosivas,CIN,WR,90.2,63.2,26.0,0.0,0.0,0.0,0.0,27.0,376.0,4.0,0.0,16.0,0.0
90,Mitchell Tinsley,CIN,WR,37.0,24.0,26.0,0.0,0.0,0.0,0.0,13.0,120.0,2.0,0.0,0.0,0.0
91,Colbie Young,CIN,WR,100.6,60.6,24.0,0.0,0.0,0.0,0.0,40.0,471.0,2.0,0.0,15.0,0.0
92,Deshaun Watson,CLE,QB,230.06,230.06,30.0,380.0,3129.0,22.0,9.0,0.0,0.0,0.0,40.0,169.0,3.0
93,Shedeur Sanders,CLE,QB,25.740000000000002,25.740000000000002,24.0,25.0,196.0,2.0,1.0,0.0,0.0,0.0,8.0,59.0,1.0
94,Quinshon Judkins,CLE,RB,221.0,197.0,22.0,0.0,0.0,0.0,0.0,24.0,281.0,0.0,260.0,969.0,12.0
95,Dylan Sampson,CLE,RB,117.2,83.2,21.0,0.0,0.0,0.0,0.0,34.0,279.0,4.0,80.0,313.0,0.0
96,Raheim Sanders,CLE,RB,127.60000000000001,115.60000000000001,24.0,0.0,0.0,0.0,0.0,12.0,62.0,0.0,112.0,374.0,12.0
97,Harold Fannin,CLE,TE,155.5,103.5,22.0,0.0,0.0,0.0,0.0,52.0,539.0,6.0,16.0,16.0,2.0
98,Jack Stoll,CLE,TE,22.8,10.8,28.0,0.0,0.0,0.0,0.0,12.0,48.0,1.0,0.0,0.0,0.0
99,Joe Royer,CLE,TE,62.0,38.0,24.0,0.0,0.0,0.0,0.0,24.0,260.0,2.0,0.0,0.0,0.0
100,KC Concepcion,CLE,WR,103.80000000000001,67.80000000000001,21.0,0.0,0.0,0.0,0.0,36.0,426.0,4.0,0.0,12.0,0.0
101,Denzel Boston,CLE,WR,104.0,68.0,22.0,0.0,0.0,0.0,0.0,36.0,424.0,4.0,0.0,16.0,0.0
102,Jerry Jeudy,CLE,WR,93.5,57.5,27.0,0.0,0.0,0.0,0.0,36.0,439.0,2.0,0.0,16.0,0.0
103,Cedric Tillman,CLE,WR,64.8,40.8,26.0,0.0,0.0,0.0,0.0,24.0,288.0,2.0,0.0,0.0,0.0
104,Isaiah Bond,CLE,WR,43.0,31.0,22.0,0.0,0.0,0.0,0.0,12.0,276.0,0.0,0.0,34.0,0.0
105,Dak Prescott,DAL,QB,377.78000000000003,377.78000000000003,33.0,586.0,4662.0,40.0,11.0,0.0,0.0,0.0,48.0,173.0,6.0
106,Joe Milton,DAL,QB,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Javonte Williams,DAL,RB,273.20000000000005,243.20000000000002,26.0,0.0,0.0,0.0,0.0,30.0,139.0,5.0,256.0,1213.0,13.0
108,Jaydon Blue,DAL,RB,64.0,64.0,22.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,128.0,430.0,3.0
109,Malik Davis,DAL,RB,92.30000000000001,92.30000000000001,27.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,96.0,519.0,6.0
110,Jake Ferguson,DAL,TE,193.0,119.0,27.0,0.0,0.0,0.0,0.0,74.0,530.0,11.0,0.0,0.0,0.0
111,Brevyn Spann-Ford,DAL,TE,37.3,22.3,26.0,0.0,0.0,0.0,0.0,15.0,103.0,2.0,0.0,0.0,0.0
112,Luke Schoonmaker,DAL,TE,28.2,13.2,27.0,0.0,0.0,0.0,0.0,15.0,132.0,0.0,0.0,0.0,0.0
113,George Pickens,DAL,WR,254.9,177.9,25.0,0.0,0.0,0.0,0.0,77.0,1239.0,9.0,0.0,0.0,0.0
114,CeeDee Lamb,DAL,WR,211.1,137.1,27.0,0.0,0.0,0.0,0.0,74.0,1131.0,4.0,0.0,0.0,0.0
115,Ryan Flournoy,DAL,WR,133.7,89.69999999999999,26.0,0.0,0.0,0.0,0.0,44.0,489.0,6.0,0.0,48.0,0.0
116,KaVontae Turpin,DAL,WR,115.30000000000001,85.30000000000001,30.0,0.0,0.0,0.0,0.0,30.0,517.0,4.0,16.0,96.0,0.0
117,Tyler Johnson,DAL,WR,56.3,41.3,27.0,0.0,0.0,0.0,0.0,15.0,293.0,2.0,0.0,0.0,0.0
118,Bo Nix,DEN,QB,366.32000000000005,366.32000000000005,26.0,611.0,4168.0,37.0,13.0,0.0,0.0,0.0,80.0,356.0,7.0
119,Jarrett Stidham,DEN,QB,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,J.K. Dobbins,DEN,RB,192.4,178.4,27.0,0.0,0.0,0.0,0.0,14.0,58.0,0.0,240.0,1246.0,8.0
121,RJ Harvey,DEN,RB,224.8,181.8,25.0,0.0,0.0,0.0,0.0,43.0,314.0,7.0,144.0,544.0,9.0
122,Jonah Coleman,DEN,RB,165.89999999999998,136.89999999999998,23.0,0.0,0.0,0.0,0.0,29.0,188.0,2.0,144.0,641.0,7.0
123,Evan Engram,DEN,TE,92.4,49.4,31.0,0.0,0.0,0.0,0.0,43.0,418.0,1.0,0.0,16.0,0.0
124,Adam Trautman,DEN,TE,44.4,30.4,29.0,0.0,0.0,0.0,0.0,14.0,184.0,2.0,0.0,0.0,0.0
125,Nate Adkins,DEN,TE,36.1,22.1,27.0,0.0,0.0,0.0,0.0,14.0,101.0,2.0,0.0,0.0,0.0
126,Jaylen Waddle,DEN,WR,175.44,117.44,27.0,0.0,21.0,0.0,0.0,58.0,818.0,5.0,0.0,48.0,0.0
127,Courtland Sutton,DEN,WR,191.5,133.5,30.0,0.0,0.0,0.0,0.0,58.0,855.0,8.0,0.0,0.0,0.0
128,Troy Franklin,DEN,WR,149.8,91.80000000000001,23.0,0.0,0.0,0.0,0.0,58.0,602.0,5.0,0.0,16.0,0.0
129,Michael Bandy,DEN,WR,58.1,44.1,28.0,0.0,0.0,0.0,0.0,14.0,201.0,4.0,0.0,0.0,0.0
130,Pat Bryant,DEN,WR,83.2,54.2,23.0,0.0,0.0,0.0,0.0,29.0,422.0,2.0,0.0,0.0,0.0
131,Jared Goff,DET,QB,336.81999999999994,336.81999999999994,31.0,576.0,4798.0,39.0,10.0,0.0,0.0,0.0,16.0,89.0,0.0
132,Joshua Dobbs,DET,QB,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,Jahmyr Gibbs,DET,RB,383.2,311.2,24.0,0.0,0.0,0.0,0.0,72.0,595.0,7.0,224.0,1197.0,15.0
134,Isiah Pacheco,DET,RB,123.8,94.8,27.0,0.0,0.0,0.0,0.0,29.0,135.0,2.0,144.0,573.0,2.0
135,Trayveon Williams,DET,RB,40.5,26.5,28.0,0.0,0.0,0.0,0.0,14.0,156.0,0.0,16.0,109.0,0.0
136,Sam LaPorta,DET,TE,165.9,107.9,25.0,0.0,0.0,0.0,0.0,58.0,779.0,5.0,0.0,0.0,0.0
137,Brock Wright,DET,TE,42.0,28.0,27.0,0.0,0.0,0.0,0.0,14.0,160.0,2.0,0.0,0.0,0.0
138,Tyler Conklin,DET,TE,28.5,14.5,31.0,0.0,0.0,0.0,0.0,14.0,145.0,0.0,0.0,0.0,0.0
139,Amon-Ra St. Brown,DET,WR,275.4,174.39999999999998,26.0,0.0,0.0,0.0,0.0,101.0,1188.0,9.0,0.0,16.0,0.0
140,Jameson Williams,DET,WR,200.7,142.7,25.0,0.0,0.0,0.0,0.0,58.0,991.0,7.0,0.0,16.0,0.0
141,Greg Dortch,DET,WR,103.3,60.3,28.0,0.0,0.0,0.0,0.0,43.0,271.0,3.0,16.0,32.0,2.0
142,Isaac TeSlaa,DET,WR,63.1,49.1,24.0,0.0,0.0,0.0,0.0,14.0,251.0,4.0,0.0,0.0,0.0
143,Tay Martin,DET,WR,25.5,11.5,28.0,0.0,0.0,0.0,0.0,14.0,115.0,0.0,0.0,0.0,0.0
144,Jordan Love,GNB,QB,266.14,266.14,27.0,436.0,3611.0,29.0,7.0,0.0,0.0,0.0,42.0,197.0,0.0
145,Tyrod Taylor,GNB,QB,10.2,10.2,37.0,16.0,95.0,1.0,1.0,0.0,0.0,0.0,9.0,44.0,0.0
146,Josh Jacobs,GNB,RB,260.0,224.0,28.0,0.0,0.0,0.0,0.0,36.0,285.0,2.0,256.0,995.0,14.0
147,Chris Brooks,GNB,RB,39.599999999999994,25.599999999999998,26.0,0.0,0.0,0.0,0.0,14.0,87.0,0.0,48.0,169.0,0.0
148,Damien Martinez,GNB,RB,166.3,137.3,22.0,0.0,0.0,0.0,0.0,29.0,188.0,2.0,144.0,645.0,7.0
149,Tucker Kraft,GNB,TE,205.89999999999998,148.89999999999998,25.0,0.0,0.0,0.0,0.0,57.0,871.0,10.0,0.0,18.0,0.0
150,Josh Whyle,GNB,TE,33.1,19.1,26.0,0.0,0.0,0.0,0.0,14.0,71.0,2.0,0.0,0.0,0.0
151,Luke Musgrave,GNB,TE,51.8,22.8,25.0,0.0,0.0,0.0,0.0,29.0,228.0,0.0,0.0,0.0,0.0
152,Christian Watson,GNB,WR,192.7,142.7,27.0,0.0,0.0,0.0,0.0,50.0,871.0,9.0,0.0,16.0,0.0
153,Jayden Reed,GNB,WR,108.4,65.4,26.0,0.0,0.0,0.0,0.0,43.0,437.0,2.0,16.0,97.0,0.0
154,Matthew Golden,GNB,WR,77.2,48.2,23.0,0.0,0.0,0.0,0.0,29.0,401.0,0.0,16.0,81.0,0.0
155,Savion Williams,GNB,WR,46.5,32.5,24.0,0.0,0.0,0.0,0.0,14.0,140.0,2.0,16.0,65.0,0.0
156,Skyy Moore,GNB,WR,11.6,11.6,25.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,16.0,0.0
157,C.J. Stroud,HOU,QB,297.76000000000005,297.76000000000005,24.0,464.0,3874.0,27.0,9.0,0.0,0.0,0.0,40.0,288.0,4.0
158,Davis Mills,HOU,QB,26.62,26.62,27.0,36.0,238.0,2.0,0.0,0.0,0.0,0.0,6.0,31.0,1.0
159,Woody Marks,HOU,RB,147.0,122.0,25.0,0.0,0.0,0.0,0.0,25.0,205.0,2.0,192.0,715.0,3.0
160,David Montgomery,HOU,RB,156.6,143.6,29.0,0.0,0.0,3.0,0.0,13.0,152.0,0.0,144.0,684.0,8.0
161,Jawhar Jordan,HOU,RB,118.0,93.0,27.0,0.0,0.0,0.0,0.0,25.0,147.0,0.0,176.0,783.0,0.0
162,Dalton Schultz,HOU,TE,133.9,69.9,30.0,0.0,0.0,0.0,0.0,64.0,579.0,2.0,0.0,0.0,0.0
163,Marlin Klein,HOU,TE,70.4,45.4,23.0,0.0,0.0,0.0,0.0,25.0,274.0,3.0,0.0,0.0,0.0
164,Cade Stover,HOU,TE,39.4,14.4,26.0,0.0,0.0,0.0,0.0,25.0,126.0,0.0,16.0,18.0,0.0
165,Nico Collins,HOU,WR,221.8,157.8,27.0,0.0,0.0,0.0,0.0,64.0,946.0,8.0,0.0,32.0,2.0
166,Kayshon Boutte,HOU,WR,118.6,93.6,24.0,0.0,0.0,0.0,0.0,25.0,516.0,7.0,0.0,0.0,0.0
167,Jayden Higgins,HOU,WR,103.6,78.6,23.0,0.0,0.0,0.0,0.0,25.0,426.0,6.0,0.0,0.0,0.0
168,Xavier Hutchinson,HOU,WR,73.5,48.5,26.0,0.0,0.0,0.0,0.0,25.0,333.0,2.0,0.0,32.0,0.0
169,Sterling Shepard,HOU,WR,84.1,46.1,33.0,0.0,0.0,0.0,0.0,38.0,369.0,1.0,0.0,32.0,0.0
170,Daniel Jones,IND,QB,263.22,263.22,29.0,421.0,3653.0,24.0,13.0,0.0,0.0,0.0,52.0,171.0,5.0
