Team,Player,Pos.,Age,Exp,Depth
ARI,Jacoby Brissett,QB,33.0,11,1
ARI,Carson Beck,QB,23.0,0,2
ARI,Gardner Minshew II,QB,30.0,8,3
ARI,Kedon Slovis,QB,25.0,2,4
ARI,Jeremiyah Love,RB,21.0,0,1
ARI,Tyler Allgeier,RB,26.0,5,2
ARI,Zonovan Knight,RB,25.0,4,3
ARI,James Conner,RB,31.0,10,4
ARI,Trey Benson,RB,24.0,3,5
ARI,Evan Hull,RB,25.0,1,6
ARI,Corey Kiner,RB,24.0,2,7
ARI,Tre Stewart,RB,23.0,1,8
ARI,Trey McBride,TE,26.0,5,1
ARI,Elijah Higgins,TE,25.0,4,2
ARI,Tip Reiman,TE,24.0,3,3
ARI,Teagan Quitoriano,TE,26.0,5,4
ARI,Baylor Cupp,TE,26.0,1,5
ARI,Jameson Geers,TE,23.0,0,6
ARI,Rivaldo Fairweather,TE,24.0,1,7
ARI,Shawn Bowman,TE,26.0,1,8
ARI,Michael Wilson,WR,26.0,4,1
ARI,Marvin Harrison Jr.,WR,24.0,3,2
ARI,Kendrick Bourne,WR,31.0,10,3
ARI,Jalen Brooks,WR,26.0,4,4
ARI,Xavier Weaver,WR,25.0,3,5
ARI,Reggie Virgil,WR,22.0,0,6
ARI,Devin Duvernay,WR,28.0,6,7
ARI,Simi Fehoko,WR,28.0,6,8
ARI,Bryson Green,WR,23.0,1,9
ARI,Harrison Wallace III,WR,23.0,0,10
ARI,Ihmir Smith-Marsette,WR,26.0,5,11
ATL,Michael Penix,QB,26.0,3,1
ATL,Tua Tagovailoa,QB,28.0,7,2
ATL,Cooper Rush,QB,32.0,9,3
ATL,Jack Strand,QB,22.0,0,4
ATL,Bijan Robinson,RB,24.0,4,1
ATL,Brian Robinson Jr.,RB,27.0,5,2
ATL,Nathan Carter,RB,24.0,2,3
ATL,Tyler Goodson,RB,25.0,4,4
ATL,Trey Sermon,RB,27.0,5,5
ATL,Cash Jones,RB,26.0,0,6
ATL,Kyle Pitts,TE,25.0,5,1
ATL,Austin Hooper,TE,31.0,11,2
ATL,Charlie Woerner,TE,28.0,7,3
ATL,Jack Velling,TE,22.0,0,4
ATL,Joshua Simon,TE,25.0,1,5
ATL,Nick Muse,TE,27.0,3,6
ATL,Drake London,WR,25.0,5,1
ATL,Zachariah Branch,WR,22.0,0,2
ATL,Olamide Zaccheaus,WR,29.0,8,3
ATL,Jahan Dotson,WR,26.0,5,4
ATL,Dylan Drummond,WR,26.0,2,5
ATL,Beaux Collins,WR,23.0,2,6
ATL,Chris Blair,WR,28.0,2,7
ATL,Antwane Wells Jr.,WR,25.0,1,8
ATL,Keelan Marion,WR,26.0,0,9
ATL,Vinny Anthony II,WR,23.0,0,10
BAL,Lamar Jackson,QB,29.0,9,1
BAL,Tyler Huntley,QB,28.0,7,2
BAL,Austin Reed,QB,26.0,1,3
BAL,Joe Fagnano,QB,25.0,0,4
BAL,Skylar Thompson,QB,29.0,5,5
BAL,Derrick Henry,RB,32.0,11,1
BAL,Adam Randall,RB,22.0,0,2
BAL,Justice Hill,RB,28.0,8,3
BAL,Rasheen Ali,RB,25.0,3,4
BAL,Dontae McMillan,RB,25.0,0,5
BAL,Elijah Tau-Tolliver,RB,23.0,0,6
BAL,Jonathan Ward,RB,28.0,6,7
BAL,Mark Andrews,TE,30.0,9,1
BAL,Matthew Hibner,TE,24.0,0,2
BAL,Josh Cuevas,TE,23.0,0,3
BAL,Durham Smythe,TE,31.0,9,4
BAL,Ty Pezza,TE,23.0,0,5
BAL,Zay Flowers,WR,25.0,4,1
BAL,Ja'Kobi Lane,WR,22.0,0,2
BAL,Rashod Bateman,WR,26.0,6,3
BAL,Devontez Walker,WR,25.0,3,4
BAL,Chris Moore,WR,33.0,10,5
BAL,Elijah Sarratt,WR,23.0,0,6
BAL,LaJohntay Wester,WR,24.0,2,7
BAL,Cornelius Johnson,WR,25.0,1,8
BAL,Cortez Braham Jr.,WR,26.0,0,9
BAL,Dayton Wade,WR,25.0,2,10
BAL,Octavian Smith Jr.,WR,23.0,0,11
BAL,Xavier Guillory,WR,25.0,1,12
BUF,Josh Allen,QB,30.0,9,1
BUF,Kyle Allen,QB,30.0,8,2
BUF,Shane Buechele,QB,28.0,4,3
BUF,James Cook,RB,26.0,5,1
BUF,Ty Johnson,RB,28.0,8,2
BUF,Ray Davis,RB,26.0,3,3
BUF,Frank Gore Jr.,RB,24.0,1,4
BUF,Ian Wheeler,RB,24.0,2,5
BUF,Dalton Kincaid,TE,26.0,4,1
BUF,Dawson Knox,TE,29.0,8,2
BUF,Jackson Hawes,TE,25.0,2,3
BUF,Keleki Latu,TE,24.0,1,4
BUF,Shane Zylstra,TE,29.0,5,5
BUF,D.J. Moore,WR,29.0,9,1
BUF,Khalil Shakir,WR,26.0,5,2
BUF,Keon Coleman,WR,23.0,3,3
BUF,Josh Palmer,WR,26.0,6,4
BUF,Tyrell Shavers,WR,27.0,2,5
BUF,Dante Pettis,WR,30.0,8,6
BUF,Skyler Bell,WR,24.0,0,7
BUF,Mecole Hardman,WR,28.0,8,8
BUF,Trent Sherfield,WR,30.0,9,9
BUF,Quentin Skinner,WR,24.0,1,10
BUF,Ja'Mori Maclin,WR,24.0,0,11
BUF,Mac Dalena,WR,24.0,1,12
BUF,Max Tomczak,WR,23.0,0,13
BUF,Stephen Gosnell,WR,24.0,1,14
CAR,Bryce Young,QB,25.0,4,1
CAR,Kenny Pickett,QB,28.0,5,2
CAR,Haynes King,QB,25.0,0,3
CAR,Kyle Trask,QB,28.0,5,4
CAR,Chuba Hubbard,RB,27.0,6,1
CAR,Jonathon Brooks,RB,23.0,3,2
CAR,AJ Dillon,RB,28.0,7,3
CAR,Trevor Etienne,RB,22.0,2,4
CAR,Anthony Tyus III,RB,23.0,1,5
CAR,Miles Davis,RB,24.0,0,6
CAR,Darren Waller,TE,33.0,9,1
CAR,Tommy Tremble,TE,26.0,6,2
CAR,Ja'Tavion Sanders,TE,23.0,3,3
CAR,Mitchell Evans,TE,23.0,2,4
CAR,James Mitchell,TE,27.0,4,5
CAR,Feleipe Franks,TE,28.0,4,6
CAR,Caden Prieskorn,TE,26.0,1,7
CAR,Tetairoa McMillan,WR,23.0,2,1
CAR,Jalen Coker,WR,24.0,3,2
CAR,Xavier Legette,WR,25.0,3,3
CAR,Chris Brazzell II,WR,22.0,0,4
CAR,Casey Washington,WR,25.0,3,5
CAR,Brycen Tremayne,WR,26.0,2,6
CAR,David Moore,WR,31.0,8,7
CAR,Dan Chisena,WR,29.0,5,8
CAR,Elijah Cooks,WR,27.0,2,9
CAR,Ja'seem Reed,WR,23.0,1,10
CAR,Jimmy Horn Jr.,WR,23.0,2,11
