Rank,Player,Team,Pos.,Age,PPR,STD,PassYds,PassTD,Int,Rec,RecYds,RecTD,RushAtt,RushYds,RushTD
1,A.J. Brown,NWE,WR,0,78.4,36.400000000000006,0,0.0,0.0,42,364,0.0,0,0,0.0
2,AJ Barner,SEA,TE,0,77.8,57.80000000000001,0,0.0,0.0,20,152,0.0,9,6,7.0
3,AJ Dillon,CAR,RB,0,17.6,17.6,0,0.0,0.0,0,0,0.0,56,176,0.0
4,Aaron Jones,MIN,RB,0,143.3,143.3,0,0.0,0.0,0,0,0.0,247,1013,7.0
5,Aaron Rodgers,PIT,QB,0,144.2,143.64000000000001,2856,7.0,7.0,0,0,0.0,28,14,0.0
6,Adam Prentice,DEN,FB,0,7.4,1.4000000000000001,0,0.0,0.0,6,14,0.0,0,0,0.0
7,Adam Trautman,DEN,TE,0,21.0,7.0,0,0.0,0.0,14,70,0.0,0,0,0.0
8,Adonai Mitchell,NYJ,WR,0,150.1,86.10000000000001,0,0.0,0.0,64,861,0.0,0,0,0.0
9,Alec Ingold,LAC,FB,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
10,Alec Pierce,IND,WR,0,85.6,50.600000000000016,0,0.0,0.0,35,506,0.0,0,0,0.0
11,Alvin Kamara,NOR,RB,0,100.8,30.799999999999994,0,0.0,0.0,70,98,0.0,126,210,0.0
12,Ameer Abdullah,JAX,RB,0,45.7,31.700000000000006,0,0.0,0.0,14,14,0.0,49,303,0.0
13,Amon-Ra St. Brown,DET,WR,0,447.3,314.3,0,0.0,0.0,133,1463,28.0,0,0,0.0
14,Andrei Iosivas,CIN,WR,0,36.0,13.000000000000002,0,0.0,0.0,23,130,0.0,0,0,0.0
15,Andrew Beck,NYJ,FB,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
16,Andrew Ogletree,IND,TE,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
17,Anthony Gould,IND,WR,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
18,Antonio Williams,WSH,WR,0,152.5,103.50000000000001,0,0.0,0.0,49,615,7.0,0,0,0.0
19,Arian Smith,NYJ,WR,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
20,Ashton Dulin,IND,WR,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
21,Ashton Jeanty,LVR,RB,0,301.0,231.0,0,0.0,0.0,70,420,14.0,308,1050,0.0
