Rank,Player,Team,Pos.,PPR,STD,PassYds,PassTD,Int,Rec,RecYds,RecTD,RushAtt,RushYds,RushTD
1,A.J. Brown,PHI,WR,14.8,9.8,0,0.0,0.0,5,68,0.5,0,0,0.0
2,AJ Barner,SEA,TE,8.6,5.6,0,0.0,0.0,3,31,0.3,1,1,0.1
3,AJ Dillon,PHI,RB,1.2,1.2,0,0.0,0.0,0,3,0.0,2,9,0.0
4,Aaron Jones,MIN,RB,10.0,8.0,0,0.0,0.0,2,17,0.1,11,45,0.2
5,Aaron Rodgers,PIT,QB,15.2,15.2,207,1.5,0.4,0,0,0.0,1,4,0.1
6,Adam Prentice,DEN,FB,0.6,0.6,0,0.0,0.0,0,3,0.0,1,3,0.0
7,Adam Thielen,PIT,WR,1.8,0.8,0,0.0,0.0,1,8,0.0,0,0,0.0
8,Adam Trautman,DEN,TE,2.7,1.7,0,0.0,0.0,1,11,0.1,0,0,0.0
9,Adonai Mitchell,NYJ,WR,3.5,2.5,0,0.0,0.0,1,19,0.1,0,0,0.0
10,Adrian Martinez,SFO,QB,-0.1,-0.1,0,0.0,0.0,0,0,0.0,1,0,0.0
11,Aidan O'Connell,LVR,QB,4.8,4.8,102,0.0,0.0,0,0,0.0,1,7,0.0
12,Albert Okwuegbunam,LVR,TE,8.6,3.6,0,0.0,0.0,5,36,0.0,0,0,0.0
13,Alec Ingold,MIA,FB,0.4,0.4,0,0.0,0.0,0,3,0.0,0,1,0.0
14,Alec Pierce,IND,WR,12.0,9.0,0,0.0,0.0,3,66,0.4,0,0,0.0
15,Alex Bachman,LVR,WR,0.1,0.1,0,0.0,0.0,0,1,0.0,0,0,0.0
16,Allen Lazard,NYJ,WR,2.3,1.3,0,0.0,0.0,1,7,0.1,0,0,0.0
17,Alvin Kamara,NOR,RB,9.6,6.6,0,0.0,0.0,3,17,0.0,12,43,0.1
18,Amar Johnson,LAC,RB,0.4,0.4,0,0.0,0.0,0,0,0.0,1,4,0.0
