Player,Team,Pos.,G,PassAtt,PassAttStDev,Cmp,IndComp%,CompStDev,TeamComp%,PassYds,PassYdsStDev,PassYds%,PassTD,PassTDStDev,PassTD%,Int,IntStDev,Int%,Tgt,TgtStDev,Rec,IndCatch%,CatStDev,TmCatch%,RecYds,RecYdsStDev,RecYds%,RecTD,RecTDStDev,RecTD%,RushAtt,RushStDev,Rush%,RushYds,RushYdsStDev,RushYds%,RushTD,RushTDStDev,RushTD%,Opp,Week
A.J. Brown,NWE,WR,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4,0,3,0.75,0,0.13043478260869565,26,0,0.14606741573033707,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,JAX,3
AJ Barner,SEA,TE,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,0.7071067811865476,3,1.0,0.7071067811865476,0.08333333333333333,21,3.5355339059327378,0.04827586206896552,0,0.0,0.0,1,0.7071067811865476,0.016129032258064516,1,0.7071067811865476,0.003861003861003861,1,0.7071067811865476,1.0,WSH,3
AJ Dillon,CAR,RB,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,8,1.4142135623730951,0.18181818181818182,25,21.920310216782973,0.12953367875647667,0,0.0,0.0,CLE,3
Aaron Jones,MIN,RB,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.7071067811865476,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,35,7.7781745930520225,0.5645161290322581,145,45.96194077712559,0.6415929203539823,1,0.7071067811865476,0.5,TAM,3
Aaron Rodgers,PIT,QB,2,79,0.7071067811865476,47,0.5949367088607594,0.7071067811865476,0.5875,408,24.041630560342615,1.0,1,0.7071067811865476,1.0,1,0.7071067811865476,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,1.4142135623730951,0.09090909090909091,2,5.656854249492381,0.013422818791946308,0,0.0,0.0,CIN,3
Adam Prentice,DEN,FB,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.7071067811865476,1,1.0,0.7071067811865476,0.02564102564102564,2,1.4142135623730951,0.00477326968973747,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,LAR,3
Adam Trautman,DEN,TE,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,2.1213203435596424,2,0.6666666666666666,1.4142135623730951,0.05128205128205128,10,7.0710678118654755,0.02386634844868735,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,LAR,3
Adonai Mitchell,NYJ,WR,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,15,6.363961030678928,9,0.6,2.1213203435596424,0.1956521739130435,123,2.1213203435596424,0.2662337662337662,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,DET,3
Alec Ingold,LAC,FB,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,BUF,3
Alec Pierce,IND,WR,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,7,3.5355339059327378,5,0.7142857142857143,2.1213203435596424,0.12195121951219512,72,35.35533905932738,0.19148936170212766,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,HOU,3
Alvin Kamara,NOR,RB,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,0,5,0.8333333333333334,0,0.18518518518518517,7,0,0.027777777777777776,0,0,0.0,9,0,0.3333333333333333,15,0,0.23076923076923078,0,0,0.0,LVR,3
Ameer Abdullah,JAX,RB,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0,2,1.0,0.0,0.05714285714285714,2,1.4142135623730951,0.004608294930875576,0,0.0,0.0,7,0.7071067811865476,0.125,43,14.849242404917497,0.19457013574660634,0,0.0,0.0,NWE,3
Amon-Ra St. Brown,DET,WR,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,27,0.7071067811865476,19,0.7037037037037037,0.7071067811865476,0.36538461538461536,209,53.033008588991066,0.3921200750469043,4,0.0,0.6666666666666666,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,NYJ,3
Andrei Iosivas,CIN,WR,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,1.4142135623730951,3,0.75,0.7071067811865476,0.06666666666666667,19,3.5355339059327378,0.04121475054229935,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,PIT,3
Andrew Beck,NYJ,FB,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,DET,3
Andrew Ogletree,IND,TE,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,HOU,3
Anthony Gould,IND,WR,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,HOU,3
Antonio Williams,WSH,WR,2,1,0.7071067811865476,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,7,0.7071067811865476,7,1.0,0.7071067811865476,0.17073170731707318,88,28.284271247461902,0.2371967654986523,1,0.7071067811865476,0.25,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,SEA,3
Arian Smith,NYJ,WR,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.7071067811865476,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,DET,3
Ashton Dulin,IND,WR,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,HOU,3
Ashton Jeanty,LVR,RB,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,13,0.7071067811865476,10,0.7692307692307693,1.4142135623730951,0.25,60,21.213203435596427,0.14527845036319612,2,1.4142135623730951,0.3333333333333333,44,1.4142135623730951,0.6666666666666666,150,38.18376618407357,0.8021390374331551,0,0.0,0.0,NOR,3
Austin Hooper,ATL,TE,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,2.8284271247461903,2,0.5,1.4142135623730951,0.06666666666666667,20,14.142135623730951,0.06944444444444445,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,GNB,3
Baker Mayfield,TAM,QB,2,62,4.242640687119285,44,0.7096774193548387,1.4142135623730951,0.7096774193548387,398,24.041630560342615,1.0,1,0.7071067811865476,1.0,1,0.7071067811865476,1.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,9,0.7071067811865476,0.2,59,0.7071067811865476,0.2610619469026549,1,0.7071067811865476,0.5,MIN,3
