"Rk,Player,OffSnp,Att,Att,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999"
"1,Mac Jones,86,49,4,0,Thu,5,5,2025-10-02,27-027,SFO,@,LAR,W 26-23 (OT),33,49,16,67.3,342,2,0,0,4.1,0.0,100.9,1,9,2.00,7.0,7.80,7.46,10.4,60.0,4,5,1.3,0,2,50.0,0,0,0,,0,,,0,,86,100.0,0,0.0,0,0.0,QB,JoneMa05"
"2,Justin Fields,82,46,7,0,Sun,5,5,2025-10-05,26-214,NYJ,,DAL,L 22-37,32,46,14,69.6,283,2,0,0,4.3,0.0,100.2,5,49,9.80,6.2,7.02,5.37,8.8,49.0,7,26,3.7,0,3,57.1,0,0,0,,0,,,0,,82,100.0,0,0.0,0,0.0,QB,FielJu00"
"3,Garrett Wilson,77,0,0,10,Sun,5,5,2025-10-05,25-075,NYJ,,DAL,L 22-37,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,10,6,71,11.8,1,60.0,7.1,4,50.0,77,93.9,0,0.0,0,0.0,WR,WilsGa00"
"4,Christian McCaffrey,76,0,22,9,Thu,5,5,2025-10-02,29-117,SFO,@,LAR,W 26-23 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,22,57,2.6,0,2,40.9,9,8,82,10.3,1,88.9,9.1,5,77.8,76,88.4,0,0.0,0,0.0,RB,McCaCh01"
"5,Bo Nix,74,39,3,0,Sun,5,5,2025-10-05,25-222,DEN,@,PHI,W 21-17,24,39,15,61.5,242,1,0,0,2.6,0.0,87.8,2,14,4.88,6.2,6.72,6.05,10.1,48.8,3,22,7.3,0,1,100.0,0,0,0,,0,,,0,,74,100.0,0,0.0,0,0.0,QB,NixxBo00"
"6,Jaxson Dart,73,40,7,0,Sun,5,5,2025-10-05,22-145,NYG,@,NOR,L 14-26,26,40,14,65.0,202,2,2,0,5.0,5.0,73.1,1,3,2.44,5.1,3.80,3.63,7.8,36.6,7,55,7.9,0,4,71.4,0,0,0,,0,,,0,,73,100.0,0,0.0,0,0.0,QB,DartJa00"
"7,Demarcus Robinson,73,0,0,7,Thu,5,5,2025-10-02,31-011,SFO,@,LAR,W 26-23 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,7,3,39,13.0,0,42.9,5.6,2,42.9,73,84.9,0,0.0,0,0.0,WR,RobiDe01"
"8,Kendrick Bourne,70,0,0,11,Thu,5,5,2025-10-02,30-059,SFO,@,LAR,W 26-23 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,11,10,142,14.2,0,90.9,12.9,8,90.9,70,81.4,0,0.0,0,0.0,WR,BourKe00"
"9,Dillon Gabriel,70,33,2,0,Sun,5,5,2025-10-05,24-281,CLE,,MIN,L 17-21,19,33,14,57.6,190,2,0,0,6.1,0.0,94.3,2,8,5.71,5.8,6.97,6.34,10.0,37.1,2,5,2.5,0,0,0.0,0,0,0,,0,,,0,,70,100.0,0,0.0,0,0.0,QB,GabrDi00"
"10,Courtland Sutton,70,0,0,10,Sun,5,5,2025-10-05,29-360,DEN,@,PHI,W 21-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,10,8,99,12.4,0,80.0,9.9,5,70.0,70,94.6,0,0.0,0,0.0,WR,SuttCo00"
