Team,Player,Pos.,Age,HT,WT,Exp,College
ARI,Carson Beck,QB,23.0,"6' 4""",220 lbs,0,
ARI,Gardner Minshew II,QB,30.0,"6' 1""",225 lbs,8,
ARI,Jacoby Brissett,QB,33.0,"6' 4""",235 lbs,11,
ARI,Kedon Slovis,QB,25.0,"6' 2""",223 lbs,2,
ARI,Bam Knight,RB,25.0,"5' 11""",210 lbs,4,
ARI,Corey Kiner,RB,24.0,"5' 9""",209 lbs,2,
ARI,Evan Hull,RB,25.0,"5' 10""",209 lbs,1,
ARI,James Conner,RB,31.0,"6' 1""",233 lbs,10,
ARI,Jeremiyah Love,RB,21.0,"6' 0""",212 lbs,0,
ARI,Tre Stewart,RB,23.0,"5' 8""",186 lbs,1,
ARI,Trey Benson,RB,24.0,"6' 0""",225 lbs,3,
ARI,Tyler Allgeier,RB,26.0,"5' 10""",220 lbs,5,
ARI,Baylor Cupp,TE,26.0,"6' 6""",243 lbs,1,
ARI,Elijah Higgins,TE,25.0,"6' 3""",245 lbs,4,
ARI,Jameson Geers,TE,23.0,"6' 5""",250 lbs,0,
ARI,Rivaldo Fairweather,TE,24.0,"6' 3""",249 lbs,1,
ARI,Shawn Bowman,TE,26.0,"6' 4""",249 lbs,1,
ARI,Teagan Quitoriano,TE,26.0,"6' 6""",259 lbs,5,
ARI,Tip Reiman,TE,24.0,"6' 5""",271 lbs,3,
ARI,Trey McBride,TE,26.0,"6' 4""",246 lbs,5,
ARI,Bryson Green,WR,23.0,"6' 1""",210 lbs,1,
ARI,Devin Duvernay,WR,28.0,"5' 11""",202 lbs,6,
ARI,Harrison Wallace III,WR,23.0,"6' 0""",192 lbs,0,
ARI,Ihmir Smith-Marsette,WR,26.0,"6' 1""",200 lbs,5,
ARI,Jalen Brooks,WR,26.0,"6' 2""",205 lbs,4,
ARI,Kendrick Bourne,WR,31.0,"6' 1""",205 lbs,10,
ARI,Marvin Harrison Jr.,WR,24.0,"6' 3""",220 lbs,3,
ARI,Michael Wilson,WR,26.0,"6' 2""",213 lbs,4,
ARI,Reggie Virgil,WR,22.0,"6' 3""",187 lbs,0,
ARI,Simi Fehoko,WR,28.0,"6' 4""",225 lbs,6,
ARI,Xavier Weaver,WR,25.0,"6' 0""",185 lbs,3,
ATL,Cooper Rush,QB,32.0,"6' 3""",224 lbs,9,
ATL,Jack Strand,QB,22.0,"6' 5""",240 lbs,0,
ATL,Michael Penix Jr.,QB,26.0,"6' 3""",220 lbs,3,
ATL,Tua Tagovailoa,QB,28.0,"6' 1""",225 lbs,7,
ATL,Bijan Robinson,RB,24.0,"5' 11""",215 lbs,4,
ATL,Brian Robinson Jr.,RB,27.0,"6' 1""",225 lbs,5,
ATL,Cash Jones,RB,26.0,"5' 11""",195 lbs,0,
ATL,Nathan Carter,RB,24.0,"5' 10""",202 lbs,2,
ATL,Trey Sermon,RB,27.0,"6' 0""",215 lbs,5,
ATL,Tyler Goodson,RB,25.0,"5' 9""",197 lbs,4,
ATL,Austin Hooper,TE,31.0,"6' 4""",254 lbs,11,
ATL,Charlie Woerner,TE,28.0,"6' 5""",250 lbs,7,
ATL,Jack Velling,TE,22.0,"6' 5""",245 lbs,0,
ATL,Joshua Simon,TE,25.0,"6' 4""",240 lbs,1,
ATL,Kyle Pitts Sr.,TE,25.0,"6' 6""",250 lbs,5,
ATL,Nick Muse,TE,27.0,"6' 5""",252 lbs,3,
ATL,Antwane Wells Jr.,WR,25.0,"6' 0""",205 lbs,1,
ATL,Beaux Collins,WR,23.0,"6' 3""",206 lbs,2,
ATL,Chris Blair,WR,28.0,"6' 2""",215 lbs,2,
ATL,Drake London,WR,25.0,"6' 4""",215 lbs,5,
ATL,Dylan Drummond,WR,26.0,"6' 0""",190 lbs,2,
ATL,Jahan Dotson,WR,26.0,"5' 11""",184 lbs,5,
ATL,Keelan Marion,WR,26.0,"6' 0""",195 lbs,0,
ATL,Olamide Zaccheaus,WR,29.0,"5' 8""",194 lbs,8,
