"Rk,Player,OffSnp,Att,Att,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999"
"1,Dak Prescott,89,52,3,0,Sun,2,2,2025-09-14,32-047,DAL,,NYG,W 40-37 (OT),38,52,14,73.1,361,2,1,0,3.8,1.9,96.7,3,18,5.45,6.9,6.85,6.15,9.5,47.3,3,17,5.7,0,1,33.3,0,0,0,,0,,,0,,89,100.0,0,0.0,0,0.0,QB,PresDa01"
"2,Bryce Young,85,55,2,0,Sun,2,2,2025-09-14,24-051,CAR,@,ARI,L 22-27,35,55,20,63.6,328,3,1,0,5.5,1.8,90.6,3,25,5.17,6.0,6.24,5.48,9.4,48.3,2,2,1.0,0,0,0.0,0,0,0,,0,,,0,,85,100.0,0,0.0,0,0.0,QB,YounBr01"
"3,CeeDee Lamb,82,0,0,11,Sun,2,2,2025-09-14,26-159,DAL,,NYG,W 40-37 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,11,9,112,12.4,0,81.8,10.2,4,63.6,82,92.1,0,0.0,0,0.0,WR,LambCe00"
"4,Baker Mayfield,80,38,3,0,Mon,2,2,2025-09-15,30-154,TAM,@,HOU,W 20-19,25,38,13,65.8,215,2,0,0,5.3,0.0,98.0,4,24,9.52,5.7,6.71,5.50,8.6,50.0,3,33,11.0,0,3,100.0,0,0,0,,0,,,0,,80,100.0,0,0.0,0,0.0,QB,MayfBa00"
"5,George Pickens,79,0,0,9,Sun,2,2,2025-09-14,24-194,DAL,,NYG,W 40-37 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,9,5,68,13.6,1,55.6,7.6,5,55.6,79,88.8,0,0.0,0,0.0,WR,PickGe00"
"6,Emeka Egbuka,74,0,0,7,Mon,2,2,2025-09-15,22-336,TAM,@,HOU,W 20-19,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,7,4,29,7.3,1,57.1,4.1,3,42.9,74,92.5,0,0.0,0,0.0,WR,EgbuEm01"
"7,Cade Otton,73,0,0,4,Mon,2,2,2025-09-15,26-153,TAM,@,HOU,W 20-19,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,3,25,8.3,0,75.0,6.3,1,75.0,73,91.3,0,0.0,0,0.0,TE,OttoCa00"
"8,Tetairoa McMillan,72,0,0,10,Sun,2,2,2025-09-14,22-162,CAR,@,ARI,L 22-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,10,6,100,16.7,0,60.0,10.0,5,50.0,72,84.7,0,0.0,0,0.0,WR,McMiTe00"
"9,Daniel Jones,71,34,6,0,Sun,2,2,2025-09-14,28-110,IND,,DEN,W 29-28,23,34,11,67.6,316,1,0,0,2.9,0.0,107.0,1,10,2.86,9.3,9.88,9.31,13.7,60.0,6,2,0.3,1,2,33.3,0,0,0,,0,,,0,,71,100.0,0,0.0,0,0.0,QB,JoneDa05"
"10,Mac Jones,71,39,6,0,Sun,2,2,2025-09-14,27-009,SFO,@,NOR,W 26-21,26,39,13,66.7,279,3,0,0,7.7,0.0,113.1,3,12,7.14,7.2,8.69,7.79,10.7,47.6,6,6,1.0,0,1,33.3,0,0,0,,0,,,0,,71,100.0,0,0.0,0,0.0,QB,JoneMa05"
